Currency ID, Currency Rate
NETHERLANDS-ANTILLEAN-GUILDER, 1.8018018018018018
NEW-ZEALAND-DOLLAR, 1.7730496453900709
AZERBAIJANI-MANAT, 1.7006802721088435
AUSTRALIAN-DOLLAR, 1.6025641025641026
CANADIAN-DOLLAR, 1.4430014430014430
BRUNEI-DOLLAR, 1.3422818791946309
SINGAPORE-DOLLAR, 1.3404825737265416
UNITED-STATES-DOLLAR, 1.00000000000000000000
CUBAN-CONVERTIBLE-PESO, 1.00000000000000000000
BERMUDAN-DOLLAR, 1.00000000000000000000
PANAMANIAN-BALBOA, 1.00000000000000000000
EURO, 0.94786729857819905213
SWISS-FRANC, 0.88731144631765749778
CAYMAN-ISLANDS-DOLLAR, 0.83333333333333333333
GIBRALTAR-POUND, 0.78431372549019607843
GUERNSEY-POUND, 0.78431372549019607843
BRITISH-POUND-STERLING, 0.78431372549019607843
JERSEY-POUND, 0.78431372549019607843
MANX-POUND, 0.78431372549019607843
FALKLAND-ISLANDS-POUND, 0.78431372549019607843
SAINT-HELENA-POUND, 0.78431372549019607843
SPECIAL-DRAWING-RIGHTS, 0.76394194041252864782
JORDANIAN-DINAR, 0.70921985815602836879
OMANI-RIAL, 0.38505968425105891413
BAHRAINI-DINAR, 0.37678975131876412962
KUWAITI-DINAR, 0.30854674483184202407
SILVER-OUNCE, 0.03128715349477504537
CHILEAN-UNIT-OF-ACCOUNT-(UF), 0.02473472012664176705
PALLADIUM-OUNCE, 0.00105522966546053916
PLATINUM-OUNCE, 0.00104055024296848173
GOLD-OUNCE, 0.00034193002402058419
